"163";"3";"60";"30"
"432";"4";"526";"16"
"472";"5";"423";"2"
"473";"5";"424";"3"
"474";"5";"425";"8"
"475";"5";"426";"7"
"495";"5";"429";"9"
"527";"1";"459";"1"
"529";"1";"461";"2"
"530";"1";"462";"3"
"531";"1";"463";"4"
"532";"5";"464";"10"
"533";"1";"465";"5"
"534";"1";"466";"0"
"536";"1";"470";"8"
"537";"1";"471";"7"
"538";"1";"473";"6"
"540";"1";"476";"10"
"541";"1";"475";"9"
"542";"4";"476";"1"
"544";"4";"223";"0"
"545";"4";"478";"2"
"552";"5";"483";"11"
"554";"5";"485";"14"
"555";"5";"486";"6"
"556";"5";"487";"12"
"558";"1";"489";"11"
"559";"5";"490";"13"
"563";"4";"494";"3"
"565";"4";"496";"4"
"566";"4";"497";"5"
"569";"4";"500";"6"
"570";"4";"501";"7"
"571";"1";"503";"12"
"572";"4";"504";"8"
"573";"1";"505";"13"
"574";"1";"506";"14"
"575";"4";"507";"9"
"583";"4";"515";"10"
"584";"4";"516";"11"
"585";"4";"517";"12"
"586";"4";"518";"13"
"587";"4";"519";"14"
"588";"5";"521";"1"
"590";"5";"523";"20"
"591";"5";"524";"15"
"592";"5";"525";"16"
"593";"5";"526";"18"
"594";"4";"527";"15"
"595";"4";"528";"17"
"596";"4";"529";"18"
"601";"4";"530";"19"
"602";"4";"531";"20"
"603";"4";"532";"21"
"604";"4";"533";"22"
"605";"4";"534";"23"
"606";"4";"535";"24"
"607";"4";"536";"25"
"608";"4";"537";"26"
"609";"4";"538";"27"
"610";"5";"539";"21"
"611";"5";"540";"5"
"612";"5";"541";"19"
"613";"5";"542";"17"
"614";"5";"543";"22"
"615";"1";"544";"15"
"617";"1";"546";"16"
"618";"4";"547";"28"
"619";"1";"548";"17"
"625";"5";"555";"23"
"626";"5";"556";"24"
"628";"5";"559";"25"
"629";"5";"560";"26"
"630";"5";"561";"4"
"631";"1";"562";"18"
"632";"1";"563";"19"
"640";"3";"571";"10"
"641";"3";"572";"7"
"642";"3";"574";"8"
"643";"3";"575";"2"
"644";"3";"576";"9"
"646";"4";"578";"29"
"648";"4";"580";"30"
"649";"4";"581";"31"
"650";"4";"579";"36"
"651";"5";"582";"27"
"652";"5";"583";"30"
"653";"5";"584";"29"
"654";"5";"585";"31"
"655";"5";"586";"32"
"656";"5";"587";"0"
"657";"1";"588";"20"
"658";"1";"589";"21"
"659";"5";"590";"33"
"660";"5";"591";"34"
"661";"4";"592";"32"
"662";"4";"593";"34"
"663";"4";"594";"33"
"664";"4";"595";"35"
"665";"5";"596";"35"
"666";"5";"597";"36"
"667";"5";"598";"37"
"668";"5";"599";"38"
"669";"5";"600";"39"
"670";"5";"601";"40"
"671";"5";"602";"41"
"672";"4";"603";"37"
"673";"4";"604";"38"
"674";"1";"605";"23"
"675";"1";"606";"22"
"676";"1";"607";"24"
"677";"4";"608";"39"
"678";"4";"609";"40"
"679";"4";"610";"41"
"682";"1";"613";"26"
"683";"1";"614";"25"
"684";"3";"615";"11"
"688";"3";"616";"12"
"689";"3";"617";"13"
"690";"3";"618";"14"
"691";"4";"619";"42"
"693";"1";"621";"27"
"694";"1";"622";"28"
"695";"1";"623";"29"
"696";"1";"624";"30"
"697";"1";"625";"31"
"698";"4";"626";"43"
"699";"4";"627";"44"
"700";"4";"628";"45"
"701";"4";"629";"46"
"702";"4";"630";"47"
"703";"4";"631";"48"
"704";"4";"632";"49"
"705";"4";"633";"50"
"706";"4";"634";"51"
"707";"5";"635";"42"
"708";"5";"636";"43"
"709";"5";"637";"44"
"710";"5";"638";"45"
"711";"5";"639";"46"
"712";"5";"640";"47"
"713";"5";"641";"28"
"714";"5";"642";"48"
"715";"5";"643";"49"
"716";"5";"644";"50"
"717";"1";"645";"32"
"718";"1";"646";"33"
"719";"1";"647";"34"
"720";"1";"648";"35"
"721";"1";"649";"36"
"722";"3";"650";"1"
"723";"3";"651";"15"
"724";"3";"652";"16"
"725";"4";"653";"52"
"726";"4";"654";"53"
"727";"4";"655";"54"
"728";"1";"656";"37"
"729";"5";"657";"51"
"730";"5";"658";"52"
"731";"5";"659";"53"
"732";"5";"660";"54"
"733";"1";"661";"38"
