"1";"3"
"2";"3"
"3";"1"
"3";"3"
"4";"1"
"5";"6"
"6";"1"
"7";"3"
"8";"1"
"9";"3"
"10";"3"
"11";"3"
"12";"1"
"12";"3"
"13";"3"
"14";"3"
"15";"3"
"16";"1"
"16";"6"
"17";"1"
"17";"6"
"18";"1"
"19";"1"
"19";"3"
"19";"6"
"20";"1"
"21";"1"
"21";"3"
"22";"1"
"22";"3"
"23";"1"
"23";"2"
"24";"3"
"25";"3"
"26";"3"
"27";"1"
"28";"1"
"28";"3"
"29";"1"
"29";"6"
"30";"3"
"31";"3"
"32";"3"
"33";"1"
"33";"3"
"34";"1"
"35";"6"
"36";"3"
"37";"1"
"37";"3"
"38";"3"
"39";"1"
"39";"6"
"40";"3"
"41";"3"
"42";"3"
"43";"1"
"44";"3"
"45";"1"
"45";"6"
"46";"3"
"47";"1"
"48";"1"
"48";"6"
"49";"1"
"50";"2"
"50";"3"
"51";"1"
"53";"1"
"54";"3"
"55";"6"
"56";"1"
"57";"3"
"58";"1"
"58";"3"
"59";"3"
"60";"3"
"61";"1"
"62";"1"
"63";"3"
"64";"3"
"65";"3"
"66";"3"
"67";"3"
"68";"6"
"69";"1"
"70";"1"
"74";"6"
"81";"1"
"82";"1"
"83";"1"
"83";"3"
"84";"1"
"84";"3"
"85";"3"
"86";"3"
"87";"3"
"88";"1"
"88";"3"
"89";"3"
"90";"3"
"91";"6"
"92";"2"
"92";"3"
"93";"3"
"94";"3"
"96";"2"
"96";"6"
"97";"2"
"97";"6"
"98";"1"
"99";"3"
"100";"3"
"101";"1"
"101";"2"
"102";"1"
"103";"3"
"104";"6"
"105";"6"
"106";"1"
"107";"1"
"108";"3"
"109";"3"
"110";"3"
"111";"1"
"112";"3"
"113";"3"
"114";"3"
"115";"6"
"116";"1"
"118";"3"
"119";"1"
"119";"6"
"120";"3"
"121";"5"
"122";"1"
"122";"3"
"123";"3"
"124";"1"
"125";"6"
"126";"6"
"127";"2"
"128";"2"
"129";"1"
"130";"1"
"130";"3"
"131";"3"
"132";"3"
"133";"6"
"134";"3"
"135";"2"
"136";"1"
"137";"6"
"138";"2"
"138";"6"
"139";"1"
"140";"1"
"141";"6"
"142";"3"
"143";"3"
"144";"6"
"145";"3"
"146";"3"
"147";"3"
"148";"3"
"149";"2"
"150";"3"
"151";"1"
"152";"1"
"153";"3"
"154";"3"
"155";"1"
"156";"1"
"156";"3"
"157";"1"
"157";"3"
"158";"3"
"159";"3"
"160";"3"
"161";"1"
"162";"3"
"163";"2"
"163";"6"
"164";"1"
"165";"3"
"166";"1"
"167";"6"
"168";"3"
"169";"2"
"169";"6"
"170";"1"
"171";"1"
"172";"1"
"173";"1"
"174";"1"
"175";"1"
"176";"1"
"177";"1"
"177";"3"
"178";"3"
"179";"3"
"180";"2"
"181";"2"
"182";"1"
"183";"3"
"184";"3"
"185";"3"
"186";"3"
"187";"1"
"187";"6"
"188";"3"
"189";"3"
"190";"1"
"191";"1"
"192";"1"
"193";"3"
"194";"3"
"195";"3"
"196";"1"
"197";"6"
"198";"6"
"199";"6"
"200";"2"
"201";"6"
"202";"1"
"202";"6"
"203";"6"
"204";"2"
"205";"1"
"205";"6"
"206";"1"
"207";"1"
"208";"6"
"209";"6"
"210";"1"
"211";"1"
"212";"1"
"213";"6"
"214";"6"
"215";"1"
"216";"1"
"216";"6"
"217";"3"
"218";"3"
"219";"6"
"220";"1"
"221";"1"
"222";"3"
"223";"2"
"224";"2"
"225";"3"
"226";"1"
"227";"1"
"227";"3"
"228";"1"
"229";"1"
"230";"5"
"231";"2"
"231";"6"
"232";"3"
"233";"3"
"234";"1"
"235";"1"
"236";"1"
"237";"1"
"237";"6"
"238";"1"
"239";"5"
"240";"6"
"241";"3"
"242";"1"
"243";"1"
"243";"3"
"244";"1"
"244";"6"
"245";"1"
"246";"1"
"247";"3"
"248";"1"
"249";"1"
"250";"3"
"251";"3"
"252";"6"
"253";"6"
"254";"2"
"255";"1"
"256";"2"
"257";"1"
"258";"1"
"259";"1"
"260";"3"
"261";"1"
"262";"1"
"262";"2"
"263";"3"
"264";"3"
"265";"1"
"266";"1"
"267";"1"
"267";"2"
"268";"1"
"269";"1"
"270";"1"
"271";"1"
"272";"1"
"272";"6"
"273";"1"
"274";"1"
"275";"1"
"275";"6"
"276";"1"
"277";"1"
"278";"3"
"279";"3"
"280";"1"
"281";"1"
"282";"1"
"283";"1"
"284";"1"
"285";"1"
"285";"3"
"286";"3"
"287";"1"
"288";"2"
"289";"1"
"289";"3"
"290";"1"
"290";"6"
"291";"1"
"292";"1"
"293";"1"
"294";"1"
"295";"1"
"296";"1"
"297";"3"
"298";"1"
"299";"3"
"300";"2"
"301";"1"
"302";"1"
"303";"1"
"304";"1"
"305";"2"
"306";"1"
"307";"1"
"308";"1"
"309";"3"
"310";"3"
"311";"1"
"312";"1"
"313";"1"
"314";"1"
